	Feature	F-measure	Nr. of result sets		
21:28:28,677 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_TERMS]	0.4748761043	8	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:28:54,702 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_TERMS]	0.4805322129	9	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:29:20,716 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_TERMS]	0.4805322129	10	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	3.82516699
22:29:04,221 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_CONSTRAINTS]	0.1056884292	1	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
22:29:37,986 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_CONSTRAINTS]	0.1056884292	2	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
22:30:11,796 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_CONSTRAINTS]	0.1435035553	3	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
22:30:48,911 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_CONSTRAINTS]	0.2130222718	4	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
22:31:22,911 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_CONSTRAINTS]	0.2219349278	5	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
22:32:10,021 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_CONSTRAINTS]	0.2807584572	6	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
22:32:43,483 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_CONSTRAINTS]	0.4454643396	7	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
22:33:18,337 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_CONSTRAINTS]	0.5140917906	8	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
22:33:52,310 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_CONSTRAINTS]	0.5140917906	9	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
22:34:25,945 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_CONSTRAINTS]	0.5140917906	10	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	3.058335782
