class,property,score
http://dbpedia.org/ontology/Animal,http://dbpedia.org/ontology/dam,0.002054144
http://dbpedia.org/ontology/Animal,http://dbpedia.org/ontology/damsire,0.010989011
http://dbpedia.org/ontology/Animal,http://dbpedia.org/ontology/foalDate,0.005680649
http://dbpedia.org/ontology/Animal,http://dbpedia.org/ontology/grandsire,0.014365865
http://dbpedia.org/ontology/Animal,http://dbpedia.org/ontology/sire,0.013573115
http://dbpedia.org/ontology/MusicalWork,http://dbpedia.org/ontology/artist,0.689384419
http://dbpedia.org/ontology/MusicalWork,http://dbpedia.org/ontology/lyrics,0.007559595
http://dbpedia.org/ontology/MusicalWork,http://dbpedia.org/ontology/recordDate,0.071207295
http://dbpedia.org/ontology/MusicalWork,http://dbpedia.org/ontology/recordedIn,0.146004423
http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/architect,0.073689159
http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/architecturalStyle,0.107612053
http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/buildingEndYear,0.000318454
http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/buildingStartYear,0.011595756
http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/constructionMaterial,0.002567848
http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/currentlyUsedFor,0.000727894
http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/demolitionDate,0.000662181
http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/demolitionYear,0.000389221
http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/maintainedBy,0.007541791
http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/rebuildingDate,0.002052257
http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/rebuildingYear,0.010711163
http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/reopeningDate,0.000116261
http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/reopeningYear,0.000631852
http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/tenant,0.030758577
http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/visitorStatisticsAsOf,0.019006121
http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/visitorsPerYear,2.53E-05
http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/visitorsPercentageChange,0.005196355
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/ontology/person,0.019304254
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/ontology/personName,0.059592913
http://dbpedia.org/ontology/Album,http://dbpedia.org/ontology/compiler,0.001761601
http://dbpedia.org/ontology/Album,http://dbpedia.org/ontology/longtype,0.01301428
http://dbpedia.org/ontology/Album,http://dbpedia.org/ontology/review,9.35E-05
http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/cinematography,0.377056942
http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/director,0.824170523
http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/editing,0.254364023
http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/gross,0.153451018
http://dbpedia.org/ontology/Infrastructure,http://dbpedia.org/ontology/Infrastructure/length,0.262872129
http://dbpedia.org/ontology/Infrastructure,http://dbpedia.org/ontology/iataLocationIdentifier,0.086276592
